hole_id,Sample_id,depth_from,depth_to,fe,sio2,al2o3,loi,p,,loi,,bin
B05,,57.05,58.85,64,0.8,3.4,3.78,0.06,,,,
B05,,58.85,61.25,63.1,2.26,3.09,4.02,0.06,,,,
B05,,61.25,63.1,65.6,1.56,0.72,3.7,0.06,,,,
B05,,63.1,64.9,65.8,0.8,1.45,3.4,0.06,,,,
B05,,64.9,67.35,65,2,1.05,3.8,0.06,,,,
B05,,67.35,69.75,63.4,1.2,1.86,6,0.07,,,,
B05,,69.75,72.2,65.1,1.6,1.01,4,0.06,,,,
B05,,72.2,74.35,63.9,2.04,1.02,5.36,0.06,,,,
B05,,74.35,75.85,64.9,1.38,0.96,4.55,0.07,,,,
B05,,75.85,77.7,65.4,1.24,1.18,3.76,0.06,,,,
B05,,77.7,80.2,64.5,1.72,1.06,4.68,0.06,,,,
B05,,80.2,81.7,63.1,1.2,3.27,4.5,0.06,,,,
B05,,81.7,82.95,65.7,1,0.85,3.9,0.06,,,,
B05,,82.95,84.75,65.8,1.2,0.77,3.2,0.07,,,,
B05,,84.75,87.2,62.6,2,2.38,5.3,0.06,,,,
B05,,87.2,89.65,62.6,2,2.38,5.5,0.06,,,,
B05,,89.65,91.45,63,1,2.51,5.6,0.06,,,,
B05,,91.45,92.95,63.8,1.2,1.65,5.7,0.06,,,,
B06,,0,1.8,55.3,8.48,6.9,4.12,0.06,,,,
B06,,1.8,4.2,45,29.58,3.35,2.09,0.07,,,,
B06,,4.2,6.4,44.4,29.66,3.95,2.27,0.07,,,,
B07,,0,1.8,49.4,18.2,6.8,3.76,0.07,,,,
B07,,1.8,3.65,55.3,10.2,6.43,3.68,0.05,,,,
B07,,3.65,6.4,53.2,14.28,5.71,3.32,0.05,,,,
B07,,6.4,8.55,52.8,15.28,5.31,3.31,0.06,,,,
B07,,8.55,11.25,57.2,8.38,6.54,2.59,0.05,,,,
B07,,11.25,13.05,52.2,18.64,2.54,3.57,0.05,,,,
B08,,0,1.85,63.2,1.66,2.33,5,0.06,,,,
B08,,1.85,3.95,58.4,4.3,4.69,6.7,0.07,,,,
B08,,3.95,6.35,57,4.24,5.75,7.5,0.07,,,,
B08,,6.35,7.6,59,4.02,4.98,6,0.06,,,,
B08,,7.6,8.5,63.8,1.16,2.21,5,0.06,,,,
B08,,8.5,9.15,64,1,2.08,5.1,0.06,,,,
B08,,9.15,11.9,64.4,1.02,1.29,5.3,0.06,,,,
B08,,11.9,14.3,64,1.14,2.34,4.6,0.06,,,,
B08,,14.3,17.4,63.8,1.4,1.37,5.6,0.08,,,,
B08,,17.4,18.9,63.2,1.8,1.72,5.7,0.07,,,,
B08,,18.9,19.8,62.4,1.6,2.45,6.32,0.07,,,,
B08,,19.8,21.35,61.5,1.84,2.9,6.9,0.06,,,,
B08,,21.35,22.85,63.6,0.94,2.34,5.5,0.07,,,,
B08,,22.85,24.4,63.8,1.1,2.12,5.15,0.07,,,,
B08,,24.4,25.9,61.9,0.9,4,6.1,0.08,,,,
B08,,25.9,28.02,65.1,0.78,2.45,3.2,0.06,,,,
B08,,28.02,30.16,66.2,0.7,1.04,3.35,0.07,,,,
B08,,30.16,32.31,67.2,0.6,0.81,2.2,0.07,,,,
B08,,32.31,34.77,66,1.4,1.32,2.5,0.08,,,,
B08,,34.77,36.59,64.2,1,2.89,3.7,0.07,,,,
B08,,36.59,39,64.6,1,2.02,4.2,0.06,,,,
B08,,39,41.1,65.3,1.4,0.67,4.15,0.08,,,,
B08,,41.1,42.38,63,2.4,1.31,5.8,0.07,,,,
B08,,42.38,44.51,60.1,8.8,0.96,3.96,0.1,,,,
B08,,44.51,46.03,62.5,4.2,2.57,3.35,0.09,,,,
B08,,46.03,47.55,67.8,0.6,0.75,1.4,0.12,,,,
B08,,47.55,49.95,61.5,1.84,3.5,6.1,0.07,,,,
B08,,49.95,51.47,65,2,1,3.55,0.08,,,,
B08,,51.47,53.62,63.6,4.5,0.85,3.25,0.07,,,,
B08,,53.62,56.02,63,4,2.11,3.5,0.07,,,,
B08,,56.02,57.57,64.8,2.8,1.24,3,0.06,,,,
B08,,57.57,59.72,64.6,2,0.88,4.6,0.08,,,,
B08,,59.72,61.27,64.1,3.56,1.12,3.2,0.06,,,,
B08,,61.27,62.79,64.8,3.26,1.48,2.15,0.06,,,,
B08,,62.79,64.92,64,2.4,0.7,5.2,0.07,,,,
B08,,64.92,67.05,65.6,2.76,1.08,2.2,0.05,,,,
B08,,67.05,69.18,60.3,7.38,1.89,4,0.06,,,,
B08,,69.18,71.01,65.8,2,1.1,2.45,0.06,,,,
B08,,71.01,73.44,66.5,1.58,0.73,2.3,0.05,,,,
B08,,73.44,74.96,65.3,2.4,0.95,2.85,0.06,,,,
B08,,74.96,76.48,63.6,4.46,0.82,3.37,0.07,,,,
B08,,76.48,78.01,63.1,4.58,0.93,3.87,0.07,,,,
B08,,78.01,79.53,63.8,3.6,0.9,3.85,0.07,,,,
B08,,79.53,81.05,63.3,3.6,1.08,5,0.09,,,,
B08,,81.05,82.57,64,2.04,1.34,4.8,0.07,,,,
B08,,82.57,84.12,62.6,1.54,1.35,7.3,0.07,,,,
B08,,84.12,86.56,60.6,4,2.35,6.7,0.08,,,,
B08,,86.56,88.69,61,3.8,2.4,6.3,0.08,,,,
B08,,88.69,89.89,63.2,2.24,1.03,5.95,0.08,,,,
B08,,89.89,91.67,60.8,7.52,1.11,4.03,0.06,,,,
B08,,91.67,93.49,54.6,18.04,1.01,2.49,0.05,,,,
B09,,0,1.83,56.4,4.9,6.05,7.8,0.05,,,,
B09,,1.83,3.96,55.5,2,8.13,10,0.05,,,,
B09,,3.96,5.79,58.6,1.8,6.46,7.4,0.04,,,,
B09,,5.79,7.62,56,2.28,7.81,9.23,0.05,,,,
B09,,7.62,10.64,56.3,2.26,8.05,8.68,0.05,,,,
B09,,10.64,12.79,55.8,3.38,8.26,8.07,0.05,,,,
B09,,12.79,15.24,61.9,1.39,3.59,6.11,0.04,,,,
B09,,15.24,17.64,64.1,1.6,1.64,4.8,0.05,,,,
B09,,17.64,19.79,59.2,1.4,6.65,6.7,0.05,,,,
B09,,19.79,22.24,61.6,1.5,2.87,7.13,0.06,,,,
B09,,22.24,24.39,63.6,1.34,2.73,4.63,0.05,,,,
B09,,24.39,26.44,63.4,1.34,2.24,5.46,0.06,,,,
B09,,26.44,28.34,62.6,1.6,2.39,6.2,0.08,,,,
B09,,28.34,31.04,64,1.6,1.18,5.4,0.06,,,,
B09,,31.04,33.49,63.6,1.6,1.45,5.7,0.07,,,,
B09,,33.49,35.34,63.6,1.24,2.71,5.1,0.07,,,,
B09,,35.34,36.89,62.8,1,2.5,6.25,0.06,,,,
B09,,36.89,38.99,64,1.4,2.46,4.2,0.05,,,,
B09,,38.99,40.84,64.4,1,2.3,4.25,0.06,,,,
B09,,40.84,42.34,64.2,1.04,2.44,3.85,0.05,,,,
B09,,42.34,44.49,65.2,1.84,0.72,3.8,0.05,,,,
B09,,44.49,46.59,65.8,2,1.01,2.5,0.04,,,,
B09,,46.59,48.74,64.4,3.3,1.27,2.83,0.06,,,,
B09,,48.74,50.89,64.8,2.7,1.44,2.75,0.06,,,,
B09,,50.89,53.04,65,2.42,0.76,3.51,0.07,,,,
B09,,53.04,56.39,64.8,2,0.84,3.3,0.06,,,,
B09,,56.39,57.94,65.7,1.8,1.35,2.74,0.06,,,,
B09,,57.94,59.74,64.2,3.2,2.04,2.45,0.06,,,,
B09,,59.74,61.29,62.2,4.38,3.22,2.9,0.04,,,,
B09,,61.29,62.49,64.3,3,1.56,3.1,0.05,,,,
B09,,62.49,64.04,65.4,1.7,1.08,3.3,0.06,,,,
B09,,64.04,65.54,64.7,3.26,1.86,2.4,0.05,,,,
B09,,65.54,67.64,61.3,6.74,1.75,3.4,0.04,,,,
B09,,67.64,69.54,65,3.1,1.65,2,0.05,,,,
