hole_id,Sample_id,depth_from,depth_to,fe,sio2,al2o3,loi,p,,loi,,bin
B24,,12.79,14.29,61.7,2.1,3.48,5.7,0,,,,
B24,,14.29,14.9,64,0.8,0.84,6.5,0.07,,,,
B24,,14.9,17.37,64.9,1,1.2,4.5,0.07,,,,
B24,,17.37,19.5,65.9,0.8,0.75,3.7,0,,,,
B24,,19.5,20.11,63.8,1.2,1.7,5.5,0.07,,,,
B24,,20.11,21.94,65.1,1.84,1.85,2.85,0,,,,
B24,,21.94,24.68,66.6,0.9,0.72,2.8,0.08,,,,
B24,,24.68,26.2,65.5,2.2,1.9,1.8,0,,,,
B24,,26.2,29.25,64,2.62,1.68,3.79,0.07,,,,
B24,,29.25,31.1,63.8,2.74,1.87,3.75,0,,,,
B24,,31.1,33.55,66.5,2.16,0.45,1.83,0.07,,,,
B24,,33.55,35.4,66,2.66,0.55,2.06,0,,,,
B24,,35.4,40.01,60.9,5.9,2.92,3.6,0,,,,
B24,,40.01,41.83,34.4,47.3,0.96,2.2,0.07,,,,
B25,,0,1.8,55.8,5.9,8.1,5.2,0.08,,,,
B25,,1.8,3.95,50.7,4.9,13,8.7,0,,,,
B25,,3.95,7,54.9,4.8,9,6.8,0.07,,,,
B25,,7,9.15,54.5,4.2,9.66,7.3,0,,,,
B25,,9.15,12.2,52.2,3.88,13.02,7.43,0.05,,,,
B25,,12.2,15.25,61.2,3.1,4.85,3.8,0,,,,
B25,,15.25,18.3,60.3,2.1,4.37,6.6,0.08,,,,
B25,,18.3,19.8,61.8,1,3.83,6,0.06,,,,
B25,,19.8,22.85,59.9,3.7,4.35,5.5,0,,,,
B25,,22.85,25.4,64.7,3.02,2.39,1.66,0.05,,,,
B25,,25.4,28.35,65.7,2.08,2.06,1.51,0,,,,
B25,,28.35,31.1,62.6,4,2.8,3,0.06,,,,
B25,,31.1,33.55,65.9,2,1.26,2,0,,,,
B25,,33.55,35.7,61.1,8.28,2.15,1.7,0,,,,
B25,,35.7,45.75,40.2,39.64,1.42,1,0.08,,,,
B26,,0,1.82,52.7,5.36,11.59,6.65,0,,,,
B26,,1.82,4.58,56,4,9.4,5.5,0.07,,,,
B26,,4.58,5.19,54.5,3,11.26,6.8,0,,,,
B26,,5.19,6.1,64.7,0.9,3.1,2.8,0.08,,,,
B26,,6.1,9.75,52.2,5.8,12.65,6.1,0,,,,
B26,,9.75,13.02,44.6,10.5,17.14,7.02,0.07,,,,
B26,,13.02,15.45,41.6,14.76,15.96,8.29,0,,,,
B26,,15.45,16.97,57,3.36,7.56,6.57,0.08,,,,
B26,,16.97,18.85,52.7,5.4,9.94,8.5,0,,,,
B26,,18.85,24.02,50.2,6.4,11.21,9.6,0,,,,
B26,,24.02,27.06,56.6,1.9,6.62,9.75,0.08,,,,
B26,,27.06,31.41,52.6,4.8,9.28,9.7,0,,,,
B26,,31.41,34.13,51.9,4.12,9.68,10.98,0.07,,,,
B26,,34.13,39.31,30.5,19.02,24.96,11.39,0,,,,
B26,,39.31,40.53,22.5,30.2,25.5,10.86,0.07,,,,
B26,,40.53,47.78,52.2,10.8,8.55,6,0,,,,
B26,,47.78,50.57,65.6,2.38,2.07,1.33,0.07,,,,
B26,,50.57,54.65,40.6,37.84,2.26,1.44,0,,,,
B27,,0,2.1,59.6,2.68,4.5,6.8,0.07,,,,
B27,,2.1,5.15,61.6,1.04,3.39,6.79,0,,,,
B27,,5.15,9.15,65.3,1.42,2.26,2.54,0,,,,
B27,,9.15,11.25,61.9,2.2,4,4.4,0.07,,,,
B27,,11.25,14.61,63,0.7,2.8,5.7,0,,,,
B27,,14.61,16.45,62.9,0.76,2.44,6.17,0.07,,,,
B27,,16.45,17.05,62.83,1.52,1.96,6,0,,,,
B27,,17.05,19.8,54.2,3.76,11.42,6.32,0,,,,
B27,,19.8,22.85,56.5,4.2,9.1,5.05,0,,,,
B27,,22.85,25.6,57.12,3.31,7.99,7.12,0,,,,
B27,,25.6,26.5,61.2,2.04,2.79,7,0,,,,
B27,,26.5,29.25,46.3,12.36,12.86,7.9,0,,,,
B27,,29.25,30.5,61.7,2.96,2.86,5.3,0.08,,,,
B27,,30.5,33.55,64.2,2.24,0.97,4.59,0.07,,,,
B27,,33.55,36.9,63.5,1.36,1.68,5.55,0,,,,
B27,,36.9,39.95,65,1.2,0.45,5,0,,,,
B27,,39.95,41.45,65.3,1.4,0.84,4.05,0,,,,
B27,,41.45,44.8,65.3,2.16,1.01,3.1,0,,,,
B27,,44.8,48.15,65.1,1.8,1.31,3.5,0.07,,,,
B27,,48.15,51.85,65.4,1.6,1.38,3.2,0,,,,
B27,,51.85,55.8,66,1.5,0.66,3.1,0.07,,,,
B27,,55.8,58.55,60.6,9,0.6,3.3,0,,,,
B27,,58.55,61.9,50.1,25.4,1.12,1.35,0.08,,,,
B27,,61.9,63.4,51.1,19.5,3.63,3.05,0,,,,
B27,,63.4,64.35,49.3,25.22,1.06,2.82,0,,,,
B28,,0,3.05,63.9,1.43,0.79,6.02,0,,,,
B28,,3.05,6.1,65.4,1.5,1.25,3.44,0,,,,
B28,,6.1,10.05,62.1,7.8,1.13,1.92,0,,,,
B28,,10.05,14.95,40.54,40.18,0.63,1.49,0,,,,
B28,,14.95,16.76,51.33,23.61,0.93,2.24,0,,,,
B28,,16.76,23.86,40.15,40.2,0.88,1.5,0,,,,
B29,,0,4.86,67.7,0.6,0.95,1.35,0.07,,,,
B29,,4.86,7.6,67.6,0.44,1.4,1.15,0,,,,
B29,,7.6,9.43,65.8,0.8,1.54,3.17,0,,,,
B29,,9.43,10.64,65.8,0.9,1.18,3.47,0.07,,,,
B29,,10.64,11.55,62.8,1.6,2.1,6.05,0.07,,,,
B29,,11.55,12.16,66.4,0.8,0.75,3.1,0.07,,,,
B29,,12.16,14.89,64.6,0.9,1.44,4.85,0,,,,
B29,,14.89,15.8,64.3,1.1,1.86,4.6,0,,,,
B29,,15.8,17.02,63.9,1.64,1.74,4.75,0.07,,,,
B29,,17.02,17.93,64.8,1.7,1.72,3.45,0.07,,,,
B29,,17.93,21.64,63.8,1.8,1.56,4.95,0,,,,
B29,,21.64,26.83,64.7,1.42,2.06,3.35,0.07,,,,
B29,,26.83,29.85,65.7,1.16,1.89,2.35,0,,,,
B29,,29.85,32.94,64.4,2.02,2.79,2.7,0.07,,,,
B29,,32.94,36.6,64.5,1.6,2,3.5,0.07,,,,
B29,,36.6,40.55,64.7,1.34,1.32,4.45,0.07,,,,
B29,,40.55,44.05,66.1,2.1,1.62,1.3,0,,,,
B29,,44.05,47.25,63,2.02,2.6,4.7,0.06,,,,
B29,,47.25,50.9,62.8,6.88,1.2,1.52,0,,,,
B29,,50.9,54.55,63.5,1.6,1.3,5.8,0,,,,
B29,,54.55,55.8,63.3,2.18,3.78,2.69,0,,,,
B29,,55.8,58.55,64.1,1.22,1.5,5.1,0.07,,,,
B29,,58.55,61,64.2,1.42,1,5.49,0,,,,
B29,,61,64.02,66.1,2.64,1.23,1.29,0,,,,
B29,,64.02,66.75,65.8,2.38,1.76,1.37,0,,,,
B29,,66.75,69.8,63.2,2.08,1.39,5.45,0.08,,,,
B29,,69.8,70.15,47.3,24,5.76,1.6,0.07,,,,
B30,,0,3.05,52.6,9.98,9.34,4.46,0.07,,,,
B30,,3.05,6.1,53.7,9.12,8.48,4.61,0,,,,
B30,,6.1,9.15,53.4,5.4,10.5,6.88,0.07,,,,
B30,,9.15,13.07,60.9,5.98,3.55,2.59,0,,,,
B30,,13.07,16.14,41.2,39.06,0.97,0.65,0.07,,,,
B30,,16.14,19.19,55.5,14.76,2.44,2.65,0,,,,
B30,,19.19,20.74,54.5,17.54,1.76,2.2,0,,,,
B30,,20.74,21.34,43.6,34.44,0.92,1.85,0.08,,,,
B30,,21.34,24.39,56.5,15.22,1.92,1.57,0,,,,
B30,,24.39,27.74,51.3,23.78,1.22,1.15,0,,,,
B30,,27.74,29.39,37.4,43.4,1.94,0.77,0.07,,,,
B30,,29.39,32.62,59.6,8.2,3.57,0,0,,,,
B30,,32.62,35.97,50.3,17.2,3.79,6.28,0.07,,,,
B30,,35.97,36.6,58.6,11.02,1.23,3.44,0,,,,
B30,,36.6,39.35,60.4,6.82,1.9,4.41,0.07,,,,
B30,,39.35,41.15,49.7,25.4,1.2,1.6,0,,,,
B30,,41.15,43.9,48.9,26.2,1.4,1.9,0.07,,,,
B30,,43.9,47.22,58.9,10.3,0.62,4.5,0,,,,
B30,,47.22,49.37,61.3,6.94,0.82,4.15,0,,,,
B30,,49.37,52.42,54.2,15.6,1.76,4.62,0.09,,,,
B30,,52.42,55.17,61.7,3.84,4.82,2.31,0.08,,,,
B30,,55.17,55.47,62.7,3.42,1.51,4.91,0,,,,
B30,,55.47,56.67,63,2,0.76,6.8,0.08,,,,
B30,,56.67,59.72,61.6,4.9,2.51,3.9,0,,,,
B30,,59.72,60.63,62.6,2.9,1.62,5.4,0,,,,
B30,,60.63,64.27,61.5,3.8,1.88,5.8,0.07,,,,
B30,,64.27,66.12,45.4,28.58,1.8,0,0,,,,
B31,,0,3.95,67.6,1,1,2.2,0,,,,
B31,,3.95,4.55,63.9,0.76,3.14,3.82,0.07,,,,
B31,,4.55,4.85,64.3,1.4,0.96,5.39,0,,,,
B31,,4.85,7,64.9,1.9,1.12,3.75,0,,,,
B31,,7,10.05,65.1,1.48,1.8,3.02,0.07,,,,
B31,,10.05,10.65,64.2,1.7,1.76,4.36,0,,,,
B31,,10.65,11.55,64.6,1.48,1.68,3.96,0,,,,
B31,,11.55,14.3,63.22,1.24,1.27,6.39,0,,,,
B31,,14.3,17.35,65.03,1.15,1.08,4.4,0,,,,
B31,,17.35,20.1,65.4,1.16,0.54,4.5,0.07,,,,
B31,,20.1,22.85,64,1.96,0.84,5.3,0,,,,
B31,,22.85,23.45,65.3,3.36,0.62,2.3,0.08,,,,
B31,,23.45,28.2,53.8,18.76,1.64,1.97,0,,,,
B32,,0,3.66,25.5,27.2,25.78,9.85,0.07,,,,
B32,,3.66,6.4,48.9,6.6,13.36,9.35,0,,,,
B32,,9.45,11.29,55.2,3.6,8.17,8.3,0,,,,
B32,,11.29,12.81,65,2,1.25,3.3,0.07,,,,
B32,,12.81,15.24,60,2.9,6.6,4,0.06,,,,
B32,,15.24,18.59,58.9,4,6.77,4.2,0,,,,
B32,,18.59,20.42,59.4,3.44,5.49,5.43,0,,,,
B32,,20.42,24.4,63.9,3.32,2.47,2.32,0.07,,,,
B32,,24.4,27.44,63.5,3.9,2.18,2.5,0.06,,,,
B32,,27.44,31.08,66.8,2.08,0.91,1.1,0,,,,
B32,,31.08,33.52,64.5,4,1.5,1.8,0,,,,
B32,,33.52,35.94,63.8,4.9,1.96,1.4,0,,,,
B32,,35.94,41.4,65.6,1.7,2.4,1.5,0.07,,,,
B32,,41.4,42,50.3,18.2,6.47,2.4,0.07,,,,
B32,,42,42.6,27.53,58.13,0.92,1.23,0,,,,
B33,,0,5.2,53.6,7.52,8.61,6.5,0,,,,
B33,,5.2,9.15,25.94,28.4,17.8,11.32,0,,,,
B33,,9.15,16.45,18.41,28.75,20.62,12.48,0,,,,
B33,,16.45,19.75,23.43,23.85,14.57,11.92,0,,,,
B33,,19.75,21.55,43.83,10.34,5.68,11.38,0,,,,
B33,,21.55,24.3,46.34,8.25,9.07,11.63,0,,,,
B33,,24.3,27.35,45.78,9.35,2.17,11.24,0,,,,
B33,,27.35,31.35,35.3,18.2,19.42,10.9,0,,,,
B33,,31.35,34.25,35.4,21.8,17.9,8.7,0.08,,,,
B33,,34.25,35,62.54,2.45,1.67,6.33,0,,,,
B33,,35,35.6,20.23,32.99,21.67,10.44,0,,,,
B33,,35.6,38.04,46.9,7.72,14.07,11.27,0,,,,
B33,,38.04,42.29,50.25,9.37,7.44,11.16,0,,,,
B33,,42.29,42.59,51.93,10.38,4.18,10.93,0,,,,
B33,,42.59,43.49,63.65,2.3,1.92,6.2,0,,,,
B33,,43.49,44.14,19.9,29.99,18.62,10.25,0,,,,
B33,,44.14,46.24,32.45,50.08,1.75,1.25,0,,,,
B33,,46.24,47.44,39.32,37.83,2.76,2,0,,,,
B34,,0,3.65,53,4.57,12.12,7.69,0,,,,
B34,,3.65,6.1,56.1,5.27,7.02,5.97,0,,,,
B34,,6.1,9.15,19.7,28.64,31.5,10.71,0.07,,,,
B34,,9.15,11.25,17.8,32.72,28.63,10.9,0.08,,,,
B34,,11.25,12.8,31.8,22.3,21,9.2,0,,,,
B34,,12.8,15.85,21.3,27.6,28.5,12.1,0,,,,
B34,,15.85,21.35,27.2,24.4,23.95,10.25,0,,,,
B34,,21.35,25.9,19.1,29.26,29.23,11.5,0,,,,
B34,,25.9,28.95,32,18.18,23.18,10.87,0.06,,,,
B34,,28.95,30.8,33.7,19.42,19.57,10.79,0,,,,
B34,,30.8,32.3,46.9,9.74,13.83,8.15,0.07,,,,
B34,,32.3,33.55,35.6,22.2,15.4,9.29,0,,,,
B34,,33.55,35.05,43.3,15.6,12.5,9,0.07,,,,
B34,,35.05,36.6,46.6,11.4,11.36,9.6,0,,,,
B34,,36.6,39.65,43.7,16,10.55,9.9,0.08,,,,
B34,,39.65,41.15,47.7,18.5,7.04,5.4,0,,,,
B34,,41.15,44.2,61.4,6.34,2.91,2.45,0.06,,,,
B34,,44.2,47.25,64.7,3.78,1.6,1.71,0,,,,
B34,,47.25,50,64.7,4.4,1.33,1.3,0,,,,
B34,,50,53.05,64.1,3.9,2.39,1.55,0.07,,,,
B34,,53.05,55.8,64.9,3.4,1.64,1.65,0,,,,
B34,,55.8,58.15,60.5,10.4,1.09,1.55,0.07,,,,
B34,,58.15,59.45,37.9,42.76,0.97,1.58,0,,,,
B35,,0,1.5,53,5.36,10.88,7.7,0,,,,
B35,,1.5,4.55,49.37,4.55,15.82,8.71,0,,,,
B35,,4.55,6.4,41.97,8.38,19.92,11.44,0,,,,
B35,,6.4,8.55,53.42,6,9.28,8.05,0,,,,
B35,,8.55,9.15,52.02,5.5,11.3,8.66,0,,,,
B35,,9.15,9.75,54.68,5.12,8.62,7.84,0,,,,
B35,,9.75,11.65,43.27,8.87,16.32,12.51,0,,,,
B35,,11.65,12.85,45.78,7.32,15.02,12.07,0,,,,
B35,,12.85,15.3,55.28,1.72,7.49,11.54,0,,,,
B35,,15.3,18.7,47.74,5.57,15.12,10.88,0,,,,
B35,,18.7,22.01,53.04,5.99,7.56,10.48,0,,,,
B35,,22.01,23.84,26.5,35.27,11.61,8.41,0,,,,
B35,,23.84,26.86,56.39,9.69,4.18,5.2,0,,,,
B35,,26.86,29.93,58.63,10.68,1.42,3.98,0,,,,
B35,,29.93,32.35,54.14,15.12,5.12,2.07,0,,,,
B35,,32.35,33.85,53.86,17.58,3.48,1.85,0,,,,
B35,,33.85,34.3,45.23,32.84,0.79,1.69,0,,,,
B36,,0,1.2,50.25,10.84,9.76,7.52,0,,,,
B36,,1.2,4.55,41.6,15.21,16.62,8.37,0,,,,
B36,,4.55,7.6,25.41,21.9,28.24,13.29,0,,,,
B36,,7.6,10.45,23.31,29.16,25.66,11.89,0,,,,
B36,,10.45,15.25,16.45,34.95,29.32,12.02,0,,,,
B36,,15.25,20.1,23.45,26.96,27.94,11.52,0,,,,
B36,,20.1,24.1,34.07,18.6,20.06,12.23,0,,,,
B36,,24.1,26.25,39.22,12.28,18.64,12.91,0,,,,
B36,,26.25,29,39.08,12.4,18.88,12.38,0,,,,
B36,,29,30.5,50.82,8.52,9.4,9.09,0,,,,
B36,,30.5,32.05,49.97,9.44,9.94,9.17,0,,,,
B36,,32.05,33.55,51.6,5.6,27.6,12.81,0,,,,
B36,,33.55,34.5,50.81,9.4,9.22,8.72,0,,,,
B36,,34.5,37.55,33.46,24.28,16.52,11.5,0,,,,
B36,,37.55,39.07,48.02,15.06,11.66,4.58,0,,,,
B36,,39.07,40.6,55.56,13.38,3.76,3.3,0,,,,
B36,,40.6,43.63,63.93,5.13,1.42,1.62,0,,,,
B36,,43.63,46.4,62.96,6.27,1.84,1.89,0,,,,
B36,,46.4,48.8,63.37,6.21,1.21,1.87,0,,,,
B36,,48.8,51.2,59.74,9.16,3.12,2.16,0,,,,
B36,,51.2,51.8,61.14,7.61,2.72,2.03,0,,,,
B36,,51.8,54,38.8,19.7,17.3,7.24,0,,,,
B36,,54,57.05,63.65,3.38,3.13,2.24,0,,,,
B36,,57.05,60.12,65.05,2.2,2.84,2,0,,,,
B36,,60.12,61.05,65.33,3.2,1.95,1.6,0,,,,
B36,,61.05,61.96,56.53,8.53,4.86,5.34,0,,,,
B36,,61.96,63.78,64.63,3.51,1.86,1.89,0,,,,
B36,,63.78,65.65,57.09,8.98,5.82,3.56,0,,,,
B36,,65.65,68.68,60.86,6.38,3.38,3.02,0,,,,
B36,,68.68,71.7,58.91,11.8,1.64,1.78,0,,,,
B36,,71.7,73.53,43.55,34.42,1.64,1.22,0,,,,
B36,,73.53,77.16,38.36,41.3,1.64,1.73,0,,,,
B36,,77.16,79.9,39.09,41.3,1.16,1.56,0,,,,
B36,,79.9,81.45,39.78,40.7,1.64,0.84,0,,,,
B37,,0,1.85,59.6,4.54,4.68,5.39,0,,,,
B37,,1.85,2.45,60.02,4.34,4.76,4.92,0,,,,
B37,,2.45,4.85,61.42,3.1,3.72,5.52,0,,,,
B37,,4.85,7,60.58,3.4,4.3,5.66,0,,,,
B37,,7,8.5,63.37,1.94,2.8,4.65,0,,,,
B37,,8.5,11.85,62.26,3.28,2.92,4.2,0,,,,
B37,,11.85,13.4,63.37,1.85,2.88,4.63,0,,,,
B37,,13.4,16.15,64.77,1.7,2.38,3.01,0,,,,
B37,,16.15,19.2,64.21,1.48,3.51,3.04,0,,,,
B37,,19.2,20.7,61.7,2.77,5.39,3.42,0,,,,
B37,,20.7,23.5,66.17,1.41,1.92,1.5,0,,,,
B37,,23.5,26.2,64.49,2.01,2.42,2.88,0,,,,
B37,,26.2,28.95,66.6,1.7,1.46,2,0,,,,
B37,,28.95,31.4,64.9,2.66,1.92,2.63,0,,,,
B37,,31.4,34.12,64.9,3.2,1.63,2.16,0,,,,
B37,,34.12,35.95,61.38,5.16,3.63,3.09,0,,,,
B37,,35.95,38.09,64.4,2.66,3.01,1.72,0,,,,
B37,,38.09,41.16,54.2,19.33,1.04,2.13,0,,,,
B37,,41.16,42.06,49.1,28.89,0.42,1.08,0,,,,
B38A,,0,3.05,64.21,1.06,1.92,5.24,0,,,,
B38A,,3.05,4.25,63.09,1.25,2.05,6.51,0,,,,
B38A,,4.25,6.4,59.74,1.24,4.05,9.22,0,,,,
B38A,,6.4,8.8,61.7,1.37,2.84,7.5,0,,,,
B38A,,8.8,12.2,63.37,1.07,3.12,5.07,0,,,,
B38A,,12.2,14,64.21,1.1,1.12,5.88,0,,,,
B38A,,14,16.75,65.89,1.22,1.04,3.49,0,,,,
B38A,,16.75,20.1,65.33,1.55,0.92,3.9,0,,,,
B38A,,20.1,23.15,64.49,0.83,2.16,4.74,0,,,,
B38A,,23.15,25.6,62.26,1.24,4.74,4.77,0,,,,
B38A,,25.6,28.95,62.54,1.21,4.24,4.97,0,,,,
B38A,,28.95,31.1,62.82,1.31,3.96,4.71,0,,,,
B38A,,31.1,34.15,63.65,2.41,1.38,4.93,0,,,,
B38A,,34.15,37.15,62.8,2.4,2.62,4.68,0.07,,,,
B38A,,37.15,40.25,62.54,1.78,2.05,6.75,0,,,,
B38A,,40.25,43.55,61.7,3.16,1.45,7.19,0,,,,
B38A,,43.55,45.75,61.76,3.38,1.14,7.1,0,,,,
B38A,,45.75,49.1,62.54,1.9,1.03,7.45,0,,,,
B38A,,49.1,51.85,60.86,5.85,0.79,6.07,0,,,,
B38A,,51.85,53.35,50.11,11.83,7.88,8.4,0,,,,
B38A,,53.35,56.4,62.82,2.29,0.84,6.97,0,,,,
B38A,,56.4,59.45,61.98,6.92,0.71,3.8,0,,,,
B38A,,59.45,60.05,50.95,23.61,0.64,2.73,0,,,,
B38A,,60.05,62.5,44.95,31.38,0.77,3.48,0,,,,
B39B,,0,2.12,59.74,3.08,5.08,6.42,0,,,,
B39B,,2.12,5.82,64.35,1.58,2.51,3.68,0,,,,
B39B,,5.82,8.66,65.61,0.82,1.43,3.86,0,,,,
B39B,,8.66,11.29,61.42,0.77,4.28,6.96,0,,,,
B39B,,11.29,14.32,62.4,0.68,3.62,6.11,0,,,,
B39B,,14.32,16.75,61.98,0.62,3.3,7.23,0,,,,
B39B,,16.75,17.81,64.07,0.93,2.05,5.12,0,,,,
B39B,,17.81,19.8,60.58,0.6,2.65,9.77,0,,,,
B39B,,19.8,21.32,61.14,0.72,2.8,8.81,0,,,,
B39B,,21.32,22.85,63.23,0.67,1.16,7.34,0,,,,
B39B,,22.85,24.35,62.4,0.7,2.13,7.47,0,,,,
B39B,,24.35,26.37,57.65,0.7,5.08,11.5,0,,,,
B39B,,26.37,28.62,62.26,0.6,3,7.23,0,,,,
B39B,,28.62,30.12,64.21,0.86,1.94,5.4,0,,,,
B39B,,30.12,30.44,63.93,0.56,2.54,5.54,0,,,,
B39B,,30.44,32.85,63.09,0.72,1.67,7.27,0,,,,
B39B,,32.85,35.95,63.37,0.88,1.62,6.75,0,,,,
B39B,,35.95,36.6,62.82,0.9,0.99,8.08,0,,,,
B39B,,36.6,37.5,63.93,0.65,1.09,6.81,0,,,,
B39B,,37.5,39.9,63.23,0.74,1.17,7.5,0,,,,
B39B,,39.9,43.53,63.37,1,1.2,6.94,0,,,,
B39B,,43.53,45.35,64.49,0.95,1.2,5.4,0,,,,
B39B,,45.35,47.15,65.47,0.9,0.79,4.52,0,,,,
B39B,,47.15,48.78,64.21,0.87,0.64,6.58,0,,,,
B39B,,48.78,50.28,66.78,0.7,0.6,3.27,0,,,,
B39B,,50.28,50.88,65.05,1.2,0.84,4.74,0,,,,
B39B,,50.88,53.9,65.75,0.89,0.75,4.13,0,,,,
B39B,,53.9,54.8,65.47,0.92,0.63,4.5,0,,,,
B39B,,54.8,57.64,64.4,1.02,1.6,5.3,0,,,,
B39B,,57.64,60.06,61.1,2.4,3,7.1,0,,,,
B39B,,60.06,62.79,52.5,14.5,1.7,8.5,0,,,,
B39B,,62.79,65.24,64,1.66,1.4,5.2,0,,,,
B39B,,65.24,66.76,64.4,1.1,1.22,5.5,0,,,,
B39B,,66.76,68.89,62.58,3.16,1.26,6.04,0,,,,
B39B,,68.89,71.94,58.8,6.96,1.9,6.86,0,,,,
B39B,,71.94,74.99,55,11.74,2.9,6.66,0,,,,
B39B,,74.99,76.5,55,11.34,4.2,5.6,0,,,,
B39B,,76.5,79.24,57.7,10.78,2.2,4.4,0,,,,
B39B,,79.24,81.37,58.24,7.44,2.7,6.6,0,,,,
B39B,,81.37,81.98,57.7,9.1,2.9,5.3,0,,,,
B39B,,81.98,83.2,53.7,16.3,3,3.9,0,,,,
B39B,,83.2,83.5,57.68,11.16,3,3.4,0,,,,
B39B,,83.5,85.33,49.56,24.46,0.8,3.9,0,,,,
B40,,0,8.45,56.95,4.38,5.01,8.85,0,,,,
B40,,8.45,9.65,63.65,0.9,2.05,5.88,0,,,,
B40,,9.65,12.7,60.16,2.35,3.6,8.04,0,,,,
B40,,12.7,15.15,57.23,3.6,5.22,9.03,0,,,,
B40,,15.15,17.6,63.09,1,2.3,6.5,0,,,,
B40,,17.6,18.2,60.02,3,4.39,6.62,0,,,,
B40,,18.2,21.25,64.88,1.32,1.91,4,0,,,,
B40,,21.25,23.4,63.73,1.6,2.63,4.25,0,,,,
B40,,23.4,26.35,63.93,2.28,3.2,2.94,0,,,,
B40,,26.35,27.7,66.03,1.04,1.63,2.77,0,,,,
B40,,27.7,29.8,66.58,0.8,1.34,2.4,0,,,,
B40,,29.8,31.35,66.44,0.7,0.98,3.3,0,,,,
B40,,31.35,33.75,63.93,2.12,1.69,4.7,0,,,,
B40,,33.75,36.78,66.17,0.78,1.04,3.4,0,,,,
B40,,36.78,39.83,65.89,0.87,0.94,3.64,0,,,,
B40,,39.83,42.88,63.2,1.1,1.93,6.09,0,,,,
B40,,42.88,46.83,62.8,2.04,2.06,5.5,0,,,,
B40,,46.83,49.88,65.2,1.14,0.84,4.4,0,,,,
B40,,49.88,52.35,64,2.32,0.76,0,0,,,,
B40,,52.35,53.88,62.2,1.2,0.8,8.7,0.07,,,,
B40,,53.88,55.4,62,2.4,1.09,7.5,0,,,,
B40,,55.4,56.93,63.1,1.46,0.85,6.94,0.12,,,,
B40,,56.93,59.98,65,0.6,0.6,5.5,0.06,,,,
B40,,59.98,63.63,64.2,0.9,0.92,6,0.11,,,,
B40,,63.63,66.68,63.1,1.4,0.68,6.9,0,,,,
B40,,66.68,69.43,64.7,1,0.7,5.5,0.08,,,,
B40,,69.43,71.83,64.3,1.4,0.9,5.31,0,,,,
B40,,71.83,74.88,63.3,2.22,0.66,6.3,0.07,,,,
B40,,74.88,76.73,64.2,1.7,0.79,5.5,0.08,,,,
B40,,76.73,79.18,63.5,1.8,1.34,5.65,0,,,,
B40,,79.18,82.5,62.6,3,1.04,6.15,0,,,,
B40,,82.5,85.25,64.1,1.66,0.59,5.58,0,,,,
B40,,85.25,87.95,62.9,2.3,1,6.4,0,,,,
B40,,87.95,91.6,64.4,2.6,1.16,3.8,0.08,,,,
B41,,0,3.05,60.2,1.76,5.35,6.01,0.07,,,,
B41,,3.05,6.1,59,1.76,7.07,5.8,0.06,,,,
B41,,6.1,9.15,63.9,1.76,3.28,3.05,0,,,,
B41,,9.15,11.3,61,3.04,4.98,3.95,0,,,,
B41,,11.3,11.9,65.4,0.66,1.82,3.4,0,,,,
B41,,11.9,13.4,61.4,0.86,5.24,5.1,0.05,,,,
B41,,13.4,16.25,66,0.6,1.92,2.6,0.07,,,,
B41,,16.25,18.35,58.5,1.2,5.14,9.2,0,,,,
B41,,18.35,18.95,63.8,0.76,3.26,4.05,0.07,,,,
B41,,18.95,20.75,66,0.54,0.7,4.05,0,,,,
B41,,20.75,22,63,2,3.61,3.5,0,,,,
B41,,22,22.9,65.2,1.4,1.76,3.2,0,,,,
B41,,22.9,25,39.5,13.2,19.32,10,0,,,,
B41,,25,25.6,66,1.4,0.6,3.3,0.06,,,,
B41,,25.6,25.9,61.9,2.6,5.18,3.05,0,,,,
B41,,25.9,26.5,62.9,2,3.85,4,0.07,,,,
B41,,26.5,28.95,36.5,16.2,18.6,12,0,,,,
B41,,28.95,30.5,63.8,2.2,2.67,3.3,0.1,,,,
B41,,30.5,33.55,65.4,1.4,1.73,2.75,0.07,,,,
B41,,33.55,35.55,64.2,1.9,2.24,3.55,0,,,,
B41,,35.55,38.4,66,2,1.68,1.64,0.06,,,,
B41,,38.4,40.85,65.3,3.3,1.08,1.85,0,,,,
B41,,40.85,44.2,53.5,19.5,2.1,1.6,0.06,,,,
B41,,44.2,47.3,60.8,9.2,1.44,2.3,0,,,,
B41,,47.3,48.5,61.9,7.2,1.42,2.5,0.07,,,,
B41,,48.5,49.75,36.4,45.2,1.4,1,0,,,,
B42,,0,3.05,65.5,0.9,1.54,3.5,0,,,,
B42,,3.05,4.6,64.1,0.56,2.68,4.5,0.07,,,,
B42,,4.6,7.65,60.5,0.8,2.34,9.8,0,,,,
B42,,7.65,10.65,62.6,0.6,1.7,7.7,0,,,,
B42,,10.65,13.7,58.3,1,4.33,10.3,0,,,,
B42,,13.7,15.25,55.7,3.6,5.75,10,0,,,,
B42,,15.25,16.45,61.9,1.12,1.76,8.01,0,,,,
B42,,16.45,18.3,60.4,0.7,2.06,10.17,0,,,,
B42,,18.3,20.4,60.2,0.66,2.26,10.31,0,,,,
B42,,20.4,20.7,60.5,1.1,2.45,9.24,0,,,,
B42,,20.7,22.55,60.6,0.52,2.43,9.9,0.09,,,,
B42,,22.55,24.7,61.4,0.4,1.9,9.4,0,,,,
