hole_id,Sample_id,depth_from,depth_to,lcode
B08,,74.96,76.48,10
B08,,76.48,78.01,10
B08,,78.01,79.53,10
B08,,79.53,81.05,10
B08,,81.05,82.57,1
B08,,82.57,84.12,1
B08,,84.12,86.56,1
B08,,86.56,88.69,1
B08,,88.69,89.89,1
B08,,89.89,91.67,10
B08,,91.67,93.49,8
B09,,0,1.83,4
B09,,1.83,3.96,4
B09,,3.96,5.79,4
B09,,5.79,7.62,4
B09,,7.62,10.64,4
B09,,10.64,12.79,4
B09,,12.79,15.24,1
B09,,15.24,17.64,1
B09,,17.64,19.79,1
B09,,19.79,22.24,9
B09,,22.24,24.39,1
B09,,24.39,26.44,2
B09,,26.44,28.34,2
B09,,28.34,31.04,1
B09,,31.04,33.49,1
B09,,33.49,35.34,2
B09,,35.34,36.89,2
B09,,36.89,38.99,2
B09,,38.99,40.84,2
B09,,40.84,42.34,2
B09,,42.34,44.49,2
B09,,44.49,46.59,2
B09,,46.59,48.74,2
B09,,48.74,50.89,2
B09,,50.89,53.04,2
B09,,53.04,56.39,2
B09,,56.39,57.94,2
B09,,57.94,59.74,2
B09,,59.74,61.29,10
B09,,61.29,62.49,10
B09,,62.49,64.04,3
B09,,64.04,65.54,10
B09,,65.54,67.64,10
B09,,67.64,69.54,10
B09,,69.54,71.35,10
B09,,71.35,73.5,10
B09,,73.5,75.6,2
B09,,75.6,77.75,2
B09,,77.75,79.9,2
B09,,79.9,82.65,2
B09,,82.65,84.5,10
B09,,84.5,86.3,10
B09,,86.3,88.45,10
B09,,88.45,89.95,10
B09,,89.95,91.8,8
B10,,0,2.45,5
B10,,2.45,4.25,4
B10,,4.25,6.35,4
B10,,6.35,8.5,4
B10,,8.5,10.65,7
B10,,10.65,13.1,9
B10,,13.1,14.65,9
B10,,14.65,17.05,9
B10,,17.05,19.5,9
B10,,19.5,21.3,2
B10,,21.3,23.45,2
B10,,23.45,24.95,2
B10,,24.95,26.17,9
B10,,26.17,28.94,2
B10,,28.94,31.39,3
B10,,31.39,33.49,3
B10,,33.49,35.94,3
B10,,35.94,38.39,3
B10,,38.39,40.24,2
B10,,40.24,42.39,2
B10,,42.39,44.19,10
B10,,44.19,46.64,8
B10,,46.64,48.79,8
B10,,48.79,50.91,8
B10,,50.91,52.11,8
B10,,52.11,53.91,1
B10,,53.91,55.46,1
B10,,55.46,57.26,1
B10,,57.26,59.11,1
B10,,59.11,60.93,1
B10,,60.93,63.33,1
B10,,63.33,65.78,1
B10,,65.78,67,1
B10,,67,68.55,1
B10,,68.55,69.75,1
B10,,69.75,72.2,1
B10,,72.2,74.05,1
B10,,74.05,76.5,1
B10,,76.5,78.3,1
B10,,78.3,79.85,1
B10,,79.85,82,1
B10,,82,84.9,1
B10,,84.9,86.9,1
B10,,86.9,89.02,1
B11,,0,1.22,4
B11,,1.22,3.05,4
B11,,3.05,5.48,4
B11,,5.48,7.62,4
B11,,7.62,10.05,4
B11,,10.05,11.57,4
B11,,11.57,13.7,4
B11,,13.7,15.22,4
B11,,15.22,17.19,4
B11,,17.19,18.09,8
B11,,18.09,22.03,8
B11,,22.03,24.15,8
B11,,24.15,25.37,8
B11,,25.37,25.97,8
B11,,25.97,28.08,8
B11,,28.08,30.49,8
B12,,0,1.8,4
B12,,1.8,3.35,4
B12,,3.35,6.1,4
B12,,6.1,8.5,4
B12,,8.5,10.65,2
B12,,10.65,12.8,2
B12,,12.8,15.25,2
B12,,15.25,17.35,2
B12,,17.35,19.5,2
B12,,19.5,21.65,2
B12,,21.65,24.4,2
B12,,24.4,26.5,2
B12,,26.5,28.95,2
B12,,28.95,30.5,2
B12,,30.5,32,2
B12,,32,34.16,2
B12,,34.16,35.67,3
B12,,35.67,37.52,10
B12,,37.52,39.05,2
B12,,39.05,40.55,2
B12,,40.55,42.7,2
B12,,42.7,44.8,2
B12,,44.8,46.95,2
B12,,46.95,48.8,2
B12,,48.8,51.2,2
B12,,51.2,53.05,8
B12,,53.05,54.9,8
B12,,54.9,57,8
B13,,0,2.44,4
B13,,2.44,4.28,1
B13,,4.28,6.1,1
B13,,6.1,8.23,1
B13,,8.23,10.37,7
B13,,10.37,12.2,7
B13,,12.2,14.62,1
B13,,14.62,16.43,1
B13,,16.43,18.27,2
B13,,18.27,19.49,2
B13,,19.49,21.62,2
B13,,21.62,23.13,2
B13,,23.13,24.66,2
B13,,24.66,26.8,2
B13,,26.8,29.24,2
B13,,29.24,31.07,2
B13,,31.07,32.29,2
B13,,32.29,34.43,2
B13,,34.43,36.26,2
B13,,36.26,38.09,2
B13,,38.09,40.23,2
B13,,40.23,42.66,3
B13,,42.66,45.11,9
B13,,45.11,47.24,9
B13,,47.24,48.77,2
B13,,48.77,49.99,2
B13,,49.99,52.42,1
B13,,52.42,54.85,1
B13,,54.85,55.77,1
B13,,55.77,57.6,1
B13,,57.6,60.03,1
B13,,60.03,62.48,8
B13,,62.48,63.49,8
B13,,63.49,64.92,10
B13,,64.92,66.04,10
B13,,66.04,67.66,10
B13,,67.66,70.1,10
B13,,70.1,70.71,10
B13,,70.71,71.01,10
B13,,71.01,72.53,10
B13,,72.53,74.05,10
B13,,74.05,75.88,10
B13,,75.88,78.02,10
B13,,78.02,80.47,10
B13,,80.47,83.2,10
B13,,83.2,87.78,8
B13,,87.78,88.39,8
B13,,88.39,91.31,8
B13,,91.31,92.32,8
B13,,92.32,93.85,8
B14,,0,3.05,4
B14,,3.05,6.1,1
B14,,6.1,10.65,1
B14,,10.65,12.5,1
B14,,12.5,14.3,1
B14,,14.3,16.45,1
B14,,16.45,17.05,1
B14,,17.05,19.2,9
B14,,19.2,20.5,9
B14,,20.5,23.15,2
B14,,23.15,24.1,2
B14,,24.1,26.3,2
B14,,26.3,28.05,2
B14,,28.05,28.95,2
B14,,28.95,31.7,2
B14,,31.7,35.05,2
B14,,35.05,37.75,2
B14,,37.75,41.1,3
B14,,41.1,45.4,3
B14,,45.4,46.65,3
B14,,46.65,48.8,1
B14,,48.8,50.3,1
B14,,50.3,52.35,1
B14,,52.35,55.47,1
B14,,55.47,57.95,1
B14,,57.95,58.55,1
B14,,58.55,60.35,1
B14,,60.35,63.1,1
B14,,63.1,64.95,1
B14,,64.95,66.45,1
B14,,66.45,68.6,1
B14,,68.6,71.35,1
B14,,71.35,74.45,1
B14,,74.45,75.95,1
B14,,75.95,77.75,1
B14,,77.75,82.65,1
B14,,82.65,85.4,1
B14,,85.4,89.95,1
B14,,89.95,90.9,2
B14,,90.9,93.05,2
B14,,93.05,93.95,2
B14,,93.95,96.95,10
B14,,96.95,99.1,10
B14,,99.1,99.7,10
B14,,99.7,100.3,10
B14,,100.3,102.75,10
B14,,102.75,104.9,8
B14,,104.9,105.8,8
B15,,0,1.52,4
B15,,1.52,2.13,4
B15,,2.13,3.35,4
B15,,3.35,4.57,4
B15,,4.57,5.79,4
B15,,5.79,7.01,4
B15,,7.01,7.92,4
B15,,7.92,11.48,7
B15,,11.48,13.64,0
B15,,13.64,15.45,0
B15,,15.45,17.05,7
B15,,17.05,18.3,7
B15,,18.3,19.6,7
B15,,19.6,21.95,7
B15,,21.95,25.29,2
B15,,25.29,27.41,2
B15,,27.41,29.35,2
B15,,29.35,31.6,2
B15,,31.6,34.92,2
B15,,34.92,37.5,2
B15,,37.5,38.1,2
B15,,38.1,39.93,2
B15,,39.93,42.7,2
B15,,42.7,45.75,2
B15,,45.75,48.55,2
B15,,48.55,50.35,2
B15,,50.35,53.45,2
B15,,53.45,56.5,2
B15,,56.5,59.25,3
B15,,59.25,62.1,3
B15,,62.1,63.35,1
B15,,63.35,67.6,1
B15,,67.6,68.55,1
B15,,68.55,69.75,8
B15,,69.75,72.8,8
B15,,72.8,77.1,8
B15,,77.1,80.8,8
B16,,0,2.1,4
B16,,2.1,3.05,4
B16,,3.05,4.55,4
B16,,4.55,5.45,4
B16,,5.45,6.1,4
B16,,6.1,6.72,1
B16,,6.72,8.25,1
B16,,8.25,8.85,1
B16,,8.85,10.7,1
B16,,10.7,12.2,1
B16,,12.2,12.85,1
B16,,12.85,15.25,1
B16,,15.25,17.35,1
B16,,17.35,18.6,1
B16,,18.6,19.5,1
B16,,19.5,22.2,1
B16,,22.2,25.9,1
B16,,25.9,29.3,3
B16,,29.3,30.2,2
B16,,30.2,31.1,2
B16,,31.1,32.95,2
B16,,32.95,35.3,1
B16,,35.3,36.65,1
B16,,36.65,39.05,1
B16,,39.05,43,1
B16,,43,45.45,2
B16,,45.45,46.95,2
B16,,46.95,49.6,2
B16,,49.6,53.5,2
B16,,53.5,56.65,2
B16,,56.65,60.6,2
B16,,60.6,62.45,2
B16,,62.45,63.65,2
B16,,63.65,66.45,2
B16,,66.45,70.35,2
B16,,70.35,73.1,2
B16,,73.1,75.6,2
B16,,75.6,79,8
B16,,79,79.95,8
B17,,0,0.9,4
B17,,0.9,4.85,4
B17,,4.85,7.6,4
B17,,7.6,10.35,9
B17,,10.35,12.5,9
B17,,12.5,15.25,9
B17,,15.25,16.75,9
B17,,16.75,18.3,9
B17,,18.3,18.9,9
B17,,18.9,19.5,1
B17,,19.5,20.1,1
B17,,20.1,21.95,1
B17,,21.95,25.1,3
B17,,25.1,26.25,3
B17,,26.25,29.3,3
B17,,29.3,31.4,2
B17,,31.4,32,2
B17,,32,34.55,2
B17,,34.55,36.6,2
B17,,36.6,38.1,8
B17,,38.1,40.85,8
B17,,40.85,41.8,8
B18,,0,0.9,4
B18,,0.9,3.05,1
B18,,3.05,6.1,1
B18,,6.1,7.6,1
B18,,7.6,9.15,1
B18,,9.15,11.6,1
B18,,11.6,12.2,1
B18,,12.2,15.25,1
B18,,15.25,17.8,1
B18,,17.8,19.2,7
B18,,19.2,20.7,7
B18,,20.7,25.9,7
B18,,25.9,31.4,7
B18,,31.4,33.25,1
B18,,33.25,35.4,1
B18,,35.4,36.6,1
B18,,36.6,37.2,1
B18,,37.2,38.1,9
B18,,38.1,40.5,9
B18,,40.5,42.32,9
B18,,42.32,42.65,9
B18,,42.65,44.75,9
B18,,44.75,45.7,9
B18,,45.7,48.75,9
B18,,48.75,51.5,2
B18,,51.5,52.1,2
B18,,52.1,53.35,1
B18,,53.35,56.4,1
B18,,56.4,60.05,1
B18,,60.05,62.5,1
B18,,62.5,67.7,1
B18,,67.7,68.6,1
B18,,68.6,70.15,1
B18,,70.15,71.05,1
B18,,71.05,75,1
B18,,75,75.3,1
B18,,75.3,77.45,10
B18,,77.45,78.65,10
B18,,78.65,79.9,10
B18,,79.9,82,8
B18,,82,83.85,8
B19,,0,2.1,4
B19,,2.1,4.6,4
B19,,4.6,5.8,4
B19,,5.8,9.15,1
B19,,9.15,11.89,1
B19,,11.89,12.2,1
B19,,12.2,14.02,1
B19,,14.02,16.74,1
B19,,16.74,19.79,1
B19,,19.79,21.59,1
B19,,21.59,22.24,1
B19,,22.24,24.1,1
B19,,24.1,26.55,1
B19,,26.55,29.25,1
B19,,29.25,30.47,1
B19,,30.47,33.49,1
B19,,33.49,33.8,1
B19,,33.8,36.55,1
B19,,36.55,38.1,1
B19,,38.1,39.6,1
B19,,39.6,41.45,1
B19,,41.45,43,1
B19,,43,45.45,1
B19,,45.45,46.05,1
B19,,46.05,47.3,1
B19,,47.3,49.72,1
B19,,49.72,51.87,1
B19,,51.87,53.67,1
B19,,53.67,54.57,1
B19,,54.57,57.02,1
B19,,57.02,59.15,1
B19,,59.15,61.87,1
B19,,61.87,64.92,1
B19,,64.92,68.02,1
B19,,68.02,71.02,1
B19,,71.02,72.82,1
B19,,72.82,75.87,1
B19,,75.87,78.57,1
B19,,78.57,81.59,1
B19,,81.59,84.34,1
B19,,84.34,86.74,1
B19,,86.74,88.89,1
B19,,88.89,91.64,1
B20,,0,6.1,8
B20,,6.1,9.15,10
B20,,9.15,11.25,10
B20,,11.25,13.4,10
B20,,13.4,16.1,10
B20,,16.1,18.55,10
B20,,18.55,20.7,2
B20,,20.7,22.85,2
B20,,22.85,25.3,2
B20,,25.3,28.34,1
B20,,28.34,31.4,1
B20,,31.4,32.92,1
B20,,32.92,35.35,2
B20,,35.35,37.47,2
B20,,37.47,39.32,2
B20,,39.32,41.47,2
B20,,41.47,42.37,2
B20,,42.37,44.82,3
B20,,44.82,47.27,3
B20,,47.27,49.42,3
B20,,49.42,50.92,3
B20,,50.92,54.27,2
B20,,54.27,55.52,2
B20,,55.52,58.65,2
B20,,58.65,61,2
B20,,61,64.05,2
B20,,64.05,64.95,8
B21,,0,0.9,1
B21,,0.9,4.57,1
B21,,4.57,7.62,1
B21,,7.62,10.67,1
B21,,10.67,13.41,1
B21,,13.41,14.63,1
B21,,14.63,17.38,1
B21,,17.38,19.21,2
B21,,19.21,20.73,2
B21,,20.73,22.85,1
B21,,22.85,25.88,1
B21,,25.88,28.32,1
B21,,28.32,29.54,1
B21,,29.54,32.28,1
B21,,32.28,34.71,1
B21,,34.71,37.18,1
B21,,37.18,39.3,1
B21,,39.3,41.43,2
B21,,41.43,44.47,2
B21,,44.47,47.3,2
B21,,47.3,49.41,2
B21,,49.41,51.54,2
B21,,51.54,54,9
B21,,54,54.61,9
B21,,54.61,57.05,9
B21,,57.05,60.55,2
B21,,60.55,61.61,8
B22,,0,1.52,5
B22,,1.52,2.42,1
B22,,2.42,3.95,1
B22,,3.95,4.87,1
B22,,4.87,5.77,1
B22,,5.77,7.62,1
B22,,7.62,9.15,7
B22,,9.15,10.05,7
B22,,10.05,11.57,7
B22,,11.57,12.77,7
B22,,12.77,13.67,7
B22,,13.67,16.74,1
B22,,16.74,18.25,7
B22,,18.25,18.85,7
B22,,18.85,19.75,7
B22,,19.75,21,7
B22,,21,24.05,7
B22,,24.05,26.17,2
B22,,26.17,29.22,2
B22,,29.22,30.74,2
B22,,30.74,33.45,2
B22,,33.45,35.65,2
B22,,35.65,36.9,2
B22,,36.9,37.8,1
B22,,37.8,38.4,1
B22,,38.4,41.48,1
B22,,41.48,43.59,1
B22,,43.59,45.74,1
B22,,45.74,47.84,1
B22,,47.84,50.25,1
B22,,50.25,52.98,1
B22,,52.98,53.28,1
B22,,53.28,56.6,1
B22,,56.6,58.7,1
B22,,58.7,61.57,1
B22,,61.57,63.39,1
B22,,63.39,64,1
B22,,64,66.12,1
B22,,66.12,67.05,1
B22,,67.05,67.95,1
B22,,67.95,69.5,1
B22,,69.5,70.45,1
B22,,70.45,71.95,2
B22,,71.95,73.75,2
B22,,73.75,76.85,2
B22,,76.85,77.5,2
B22,,77.5,78.7,2
B22,,78.7,82.4,10
B22,,82.4,85.7,10
B22,,85.7,88.4,10
B22,,88.4,89.92,8
B23,,0,1.8,3
B23,,1.8,4.85,3
B23,,4.85,6.1,1
B23,,6.1,7,1
B23,,7,10.65,1
B23,,10.65,12.2,1
B23,,12.2,13.7,1
B23,,13.7,15.2,1
B23,,15.2,16.75,1
B23,,16.75,20.4,1
B23,,20.4,22.85,1
B23,,22.85,25.3,1
B23,,25.3,27.45,1
B23,,27.45,29.6,1
B23,,29.6,31.4,1
B23,,31.4,33.8,1
B23,,33.8,35.65,1
B23,,35.65,37.5,1
B23,,37.5,38.4,1
B23,,38.4,41.15,1
B23,,41.15,44.8,2
B23,,44.8,45.75,2
B23,,45.75,47.55,3
B23,,47.55,48.15,3
B23,,48.15,50.6,3
B23,,50.6,53.96,2
B23,,53.96,54.91,2
B23,,54.91,56.91,8
B23,,56.91,59.43,2
B23,,59.43,62.55,2
B23,,62.55,64.65,2
B23,,64.65,67.1,8
B23,,67.1,74.7,8
B24,,0,2.12,9
B24,,2.12,3.96,9
B24,,3.96,6.1,9
B24,,6.1,7.41,9
B24,,7.41,9.15,7
B24,,9.15,9.45,7
B24,,9.45,11.28,7
B24,,11.28,12.79,7
B24,,12.79,14.29,2
B24,,14.29,14.9,2
B24,,14.9,17.37,3
B24,,17.37,19.5,3
B24,,19.5,20.11,3
B24,,20.11,21.94,3
B24,,21.94,24.68,3
B24,,24.68,26.2,2
B24,,26.2,29.25,2
B24,,29.25,31.1,2
B24,,31.1,33.55,3
B24,,33.55,35.4,3
B24,,35.4,40.01,10
B24,,40.01,41.83,8
B25,,0,1.8,5
B25,,1.8,3.95,5
B25,,3.95,7,5
B25,,7,9.15,5
B25,,9.15,12.2,5
B25,,12.2,15.25,9
B25,,15.25,18.3,9
B25,,18.3,19.8,9
B25,,19.8,22.85,9
B25,,22.85,25.4,2
B25,,25.4,28.35,2
B25,,28.35,31.1,2
B25,,31.1,33.55,3
B25,,33.55,35.7,10
B25,,35.7,45.75,8
B26,,0,1.82,5
B26,,1.82,4.58,5
B26,,4.58,5.19,5
B26,,5.19,6.1,5
B26,,6.1,9.75,5
B26,,9.75,13.02,5
B26,,13.02,15.45,5
B26,,15.45,16.97,5
B26,,16.97,18.85,5
B26,,18.85,24.02,5
B26,,24.02,27.06,5
B26,,27.06,31.41,7
B26,,31.41,34.13,7
B26,,34.13,39.31,7
B26,,39.31,40.53,7
B26,,40.53,47.78,7
B26,,47.78,50.57,3
B26,,50.57,54.65,8
B27,,0,2.1,4
B27,,2.1,5.15,9
B27,,5.15,9.15,2
B27,,9.15,11.25,9
B27,,11.25,14.61,2
B27,,14.61,16.45,2
B27,,16.45,17.05,2
B27,,17.05,19.8,7
B27,,19.8,22.85,7
B27,,22.85,25.6,7
B27,,25.6,26.5,7
B27,,26.5,29.25,7
B27,,29.25,30.5,1
B27,,30.5,33.55,1
B27,,33.55,36.9,1
B27,,36.9,39.95,1
B27,,39.95,41.45,1
B27,,41.45,44.8,2
B27,,44.8,48.15,2
B27,,48.15,51.85,2
B27,,51.85,55.8,2
B27,,55.8,58.55,10
B27,,58.55,61.9,8
B27,,61.9,63.4,8
B27,,63.4,64.35,8
B28,,0,3.05,3
B28,,3.05,6.1,3
B28,,6.1,10.05,10
B28,,10.05,14.95,8
B28,,14.95,16.76,8
B28,,16.76,23.86,8
B29,,0,4.86,3
B29,,4.86,7.6,3
B29,,7.6,9.43,3
B29,,9.43,10.64,1
B29,,10.64,11.55,2
B29,,11.55,12.16,2
B29,,12.16,14.89,2
B29,,14.89,15.8,2
B29,,15.8,17.02,2
B29,,17.02,17.93,2
B29,,17.93,21.64,2
B29,,21.64,26.83,1
B29,,26.83,29.85,2
B29,,29.85,32.94,1
B29,,32.94,36.6,1
B29,,36.6,40.55,1
B29,,40.55,44.05,1
B29,,44.05,47.25,2
B29,,47.25,50.9,1
B29,,50.9,54.55,1
B29,,54.55,55.8,1
B29,,55.8,58.55,1
B29,,58.55,61,2
B29,,61,64.02,2
B29,,64.02,66.75,2
B29,,66.75,69.8,2
B29,,69.8,70.15,8
B30,,0,3.05,5
B30,,3.05,6.1,5
B30,,6.1,9.15,5
B30,,9.15,13.07,5
B30,,13.07,16.14,8
B30,,16.14,19.19,8
B30,,19.19,20.74,8
B30,,20.74,21.34,8
B30,,21.34,24.39,8
B30,,24.39,27.74,8
B30,,27.74,29.39,2
B30,,29.39,32.62,10
B30,,32.62,35.97,8
B30,,35.97,36.6,10
B30,,36.6,39.35,10
B30,,39.35,41.15,8
B30,,41.15,43.9,8
B30,,43.9,47.22,8
B30,,47.22,49.37,10
B30,,49.37,52.42,10
B30,,52.42,55.17,1
B30,,55.17,55.47,1
B30,,55.47,56.67,1
B30,,56.67,59.72,1
B30,,59.72,60.63,1
B30,,60.63,64.27,1
B30,,64.27,66.12,8
B31,,0,3.95,3
B31,,3.95,4.55,2
B31,,4.55,4.85,2
B31,,4.85,7,2
B31,,7,10.05,2
B31,,10.05,10.65,1
B31,,10.65,11.55,1
B31,,11.55,14.3,1
B31,,14.3,17.35,1
B31,,17.35,20.1,1
B31,,20.1,22.85,1
B31,,22.85,23.45,1
B31,,23.45,28.2,8
B32,,0,3.66,5
B32,,3.66,6.4,5
B32,,9.45,11.29,5
B32,,11.29,12.81,4
B32,,12.81,15.24,4
B32,,15.24,18.59,4
B32,,18.59,20.42,9
B32,,20.42,24.4,9
B32,,24.4,27.44,9
B32,,27.44,31.08,3
B32,,31.08,33.52,3
B32,,33.52,35.94,10
B32,,35.94,41.4,3
B32,,41.4,42,8
B32,,42,42.6,8
B33,,0,5.2,5
B33,,5.2,9.15,6
B33,,9.15,16.45,6
B33,,16.45,19.75,6
B33,,19.75,21.55,5
B33,,21.55,24.3,5
B33,,24.3,27.35,5
B33,,27.35,31.35,6
B33,,31.35,34.25,6
B33,,34.25,35,6
B33,,35,35.6,6
B33,,35.6,38.04,6
B33,,38.04,42.29,7
B33,,42.29,42.59,6
B33,,42.59,43.49,6
B33,,43.49,44.14,6
B33,,44.14,46.24,6
B33,,46.24,47.44,6
B34,,0,3.65,6
B34,,3.65,6.1,6
B34,,6.1,9.15,6
B34,,9.15,11.25,6
B34,,11.25,12.8,6
B34,,12.8,15.85,6
B34,,15.85,21.35,6
B34,,21.35,25.9,6
B34,,25.9,28.95,6
B34,,28.95,30.8,6
B34,,30.8,32.3,6
B34,,32.3,33.55,6
B34,,33.55,35.05,6
B34,,35.05,36.6,6
B34,,36.6,39.65,6
B34,,39.65,41.15,6
B34,,41.15,44.2,10
B34,,44.2,47.25,10
B34,,47.25,50,10
B34,,50,53.05,10
B34,,53.05,55.8,10
